시설종류,수용유형,시설명,도로명주소,지번주소,연락처,위도,경도,데이터기준일자
재가장기요양기관,재가장기요양기관,마음두배 재가방문요양센터,"강원특별자치도 강릉시 남구길5번길 24, 1층 (포남동)",,033-651-0801,37.76235193,128.9049145,2024-03-12
재가장기요양기관,재가장기요양기관,사임당재가복지센터,강원특별자치도 강릉시 회산로383번길 54-5 (회산동),,033-645-2314,37.74209976,128.8630801,2024-03-12
재가장기요양기관,재가장기요양기관,강릉자활종합돌봄센터,강원특별자치도 강릉시 홍제로71번길 24 (홍제동),,033-643-4101,37.75330361,128.8819152,2024-03-12
재가장기요양기관,재가장기요양기관,사랑모아재가복지센터,"강원특별자치도 강릉시 임영로 172, 가-1동 1층 (임당동)",,033-655-7717,37.7565194,128.8917167,2024-03-12
재가장기요양기관,재가장기요양기관,양지뜰노인복지센터,강원특별자치도 강릉시 유산골길 38 (유산동),,033-642-9945,37.73808226,128.9035489,2024-03-12
재가장기요양기관,재가장기요양기관,참사랑재가장기요양기관,강원특별자치도 강릉시 홍제로20번길 10-10 (남문동),,033-646-2369,37.75006799,128.88791,2024-03-12
재가장기요양기관,재가장기요양기관,연서메디칼,강원특별자치도 강릉시 강릉대로419번길 22 (포남동),,033-651-8899,37.77293923,128.9085208,2024-03-12
재가장기요양기관,재가장기요양기관,가애노인요양센터,강원특별자치도 강릉시 임영로 173-9 (용강동),,033-647-3789,37.75635587,128.8909948,2024-03-12
재가장기요양기관,재가장기요양기관,가나의료기,강원특별자치도 강릉시 옥가로50번길 1 (옥천동),,033-644-8858,37.76091581,128.900296,2024-03-12
재가장기요양기관,재가장기요양기관,성덕방문요양센터,"강원특별자치도 강릉시 용지로 31, 5층 (입암동)",,033-646-9950,37.75439828,128.911086,2024-03-12
재가장기요양기관,재가장기요양기관,한나 재가복지센터,"강원특별자치도 강릉시 홍제로71번길 24, 1층 (홍제동)",,033-645-9901,37.75330361,128.8819152,2024-03-12
재가장기요양기관,재가장기요양기관,헬스케어의료기,"강원특별자치도 강릉시 보래미하길 19, 5층 (포남동)",,033-651-1401,37.77186235,128.9095726,2024-03-12
재가장기요양기관,재가장기요양기관,강릉의료기,강원특별자치도 강릉시 사천면 방동길 16,,033-641-8202,37.81535467,128.8561134,2024-03-12
재가장기요양기관,재가장기요양기관,굿모닝의료기,강원특별자치도 강릉시 주문진읍 주문로 97,,033-661-3234,37.89270771,128.8266069,2024-03-12
재가장기요양기관,재가장기요양기관,나눔의료기,강원특별자치도 강릉시 남문길 13 (남문동),,033-645-1311,37.75048273,128.8930762,2024-03-12
재가장기요양기관,재가장기요양기관,고려보조기,강원특별자치도 강릉시 경강로 2019 (명주동),,033-646-7477,37.74976653,128.8904687,2024-03-12
재가장기요양기관,재가장기요양기관,이원건강의료기 강릉점,강원특별자치도 강릉시 율곡로 2835 (옥천동),,033-647-2159,37.75722482,128.8977232,2024-03-12
재가장기요양기관,재가장기요양기관,기쁨요양방문센터,강원특별자치도 강릉시 주문진읍 연주로 472,,033-662-1417,37.89422197,128.8252331,2024-03-12
재가장기요양기관,재가장기요양기관,신화메디칼,"강원특별자치도 강릉시 옥천로 57, 2호 (옥천동)",,033-643-8551,37.75953866,128.8993929,2024-03-12
